Feature,Coefficient,Compartment,Feature_Type,Measurement,Channel,Rank
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_5_5,0.1479293324490532,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,40
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_2_2,0.1444541154366984,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,41
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_9_9,0.14306817498524557,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,42
Cytoplasm_Granularity_2_Mitochondria,0.14305213810846323,Cytoplasm,Granularity,2,Mitochondria,43
Cytoplasm_Texture_Correlation_Mitochondria_3_00_256,0.13849145972645513,Cytoplasm,Texture,Correlation,Mitochondria,44
Nuclei_Granularity_1_Mitochondria,0.13752867449096823,Nuclei,Granularity,1,Mitochondria,45
Cells_Intensity_MeanIntensityEdge_ER,0.13122316112760438,Cells,Intensity,MeanIntensityEdge,ER,46
Nuclei_RadialDistribution_ZernikeMagnitude_PM_4_2,0.13102569653503138,Nuclei,RadialDistribution,ZernikeMagnitude,PM,47
Nuclei_RadialDistribution_MeanFrac_PM_2of4,0.13046078334861555,Nuclei,RadialDistribution,MeanFrac,PM,48
Cytoplasm_Correlation_RWC_ER_Mitochondria,0.12769698177978175,Cytoplasm,Correlation,RWC,ER,49
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_2_0,0.12587128297111383,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,50
Cytoplasm_Intensity_LowerQuartileIntensity_ER,0.12562192034757083,Cytoplasm,Intensity,LowerQuartileIntensity,ER,51
Cytoplasm_RadialDistribution_ZernikeMagnitude_Actin_6_0,0.12337826850882151,Cytoplasm,RadialDistribution,ZernikeMagnitude,Actin,52
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_8_6,0.12264624659645756,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,53
Cytoplasm_Texture_Contrast_Actin_3_01_256,0.12201114785160812,Cytoplasm,Texture,Contrast,Actin,54
Nuclei_AreaShape_Zernike_9_3,0.11944868084969373,Nuclei,AreaShape,Zernike,9,55
Nuclei_Correlation_K_Hoechst_Mitochondria,0.11888626833589969,Nuclei,Correlation,K,Hoechst,56
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_6_2,0.11520474475548269,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,57
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_9_7,0.11296637882469561,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,58
Cytoplasm_Texture_InfoMeas1_Mitochondria_3_02_256,0.11264792267004757,Cytoplasm,Texture,InfoMeas1,Mitochondria,59
Cytoplasm_AreaShape_Zernike_9_7,0.11032736660622346,Cytoplasm,AreaShape,Zernike,9,60
Cells_RadialDistribution_ZernikeMagnitude_Actin_8_4,0.11016139766724498,Cells,RadialDistribution,ZernikeMagnitude,Actin,61
Nuclei_Intensity_MinIntensityEdge_Hoechst,0.10953487486707877,Nuclei,Intensity,MinIntensityEdge,Hoechst,62
Cells_Intensity_MaxIntensityEdge_Mitochondria,0.10877130661691196,Cells,Intensity,MaxIntensityEdge,Mitochondria,63
Cells_Correlation_Manders_Hoechst_Actin,0.10750994911333604,Cells,Correlation,Manders,Hoechst,64
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_4_4,0.10456975321982007,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,65
Cytoplasm_Texture_InfoMeas1_Mitochondria_3_00_256,0.10286100858590945,Cytoplasm,Texture,InfoMeas1,Mitochondria,66
Cytoplasm_RadialDistribution_FracAtD_Mitochondria_2of4,0.10249899144575703,Cytoplasm,RadialDistribution,FracAtD,Mitochondria,67
Nuclei_Correlation_RWC_Mitochondria_ER,0.10241326818430664,Nuclei,Correlation,RWC,Mitochondria,68
Nuclei_AreaShape_Zernike_7_3,0.10206801697508605,Nuclei,AreaShape,Zernike,7,69
Cells_RadialDistribution_ZernikeMagnitude_PM_9_5,0.10191749766822779,Cells,RadialDistribution,ZernikeMagnitude,PM,70
Cells_RadialDistribution_ZernikeMagnitude_Mitochondria_8_8,0.09704516402996577,Cells,RadialDistribution,ZernikeMagnitude,Mitochondria,71
Nuclei_RadialDistribution_ZernikeMagnitude_ER_4_0,0.09466307309881133,Nuclei,RadialDistribution,ZernikeMagnitude,ER,72
Nuclei_AreaShape_Zernike_2_2,0.09414367292133008,Nuclei,AreaShape,Zernike,2,73
Cytoplasm_RadialDistribution_ZernikeMagnitude_Actin_4_2,0.09320564320553124,Cytoplasm,RadialDistribution,ZernikeMagnitude,Actin,74
Nuclei_RadialDistribution_ZernikeMagnitude_PM_8_6,0.0926838528561203,Nuclei,RadialDistribution,ZernikeMagnitude,PM,75
Nuclei_Intensity_MinIntensity_ER,0.09204898976869577,Nuclei,Intensity,MinIntensity,ER,76
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_9_9,0.09170330414702682,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,77
Cytoplasm_Correlation_Correlation_Hoechst_PM,0.09047679124273099,Cytoplasm,Correlation,Correlation,Hoechst,78
Cytoplasm_Texture_DifferenceEntropy_Hoechst_3_03_256,0.08935390226092281,Cytoplasm,Texture,DifferenceEntropy,Hoechst,79
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_8_8,0.08777558762948692,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,80
Nuclei_Intensity_MADIntensity_Mitochondria,0.08750441280193132,Nuclei,Intensity,MADIntensity,Mitochondria,81
Cells_RadialDistribution_ZernikeMagnitude_Actin_7_1,0.08737109503107171,Cells,RadialDistribution,ZernikeMagnitude,Actin,82
Cytoplasm_AreaShape_Zernike_7_5,0.08551903215562823,Cytoplasm,AreaShape,Zernike,7,83
Cells_RadialDistribution_ZernikeMagnitude_Mitochondria_6_6,0.08471060109957092,Cells,RadialDistribution,ZernikeMagnitude,Mitochondria,84
Cytoplasm_RadialDistribution_RadialCV_ER_3of4,0.08389989115328787,Cytoplasm,RadialDistribution,RadialCV,ER,85
Cytoplasm_Texture_Contrast_Actin_3_03_256,0.0838686617153031,Cytoplasm,Texture,Contrast,Actin,86
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_5_5,0.08348854344615841,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,87
Cytoplasm_AreaShape_Zernike_7_3,0.08079053386093292,Cytoplasm,AreaShape,Zernike,7,88
Cells_RadialDistribution_MeanFrac_PM_4of4,0.08075188027367736,Cells,RadialDistribution,MeanFrac,PM,89
Cytoplasm_Texture_InfoMeas1_Mitochondria_3_03_256,0.079392207292672,Cytoplasm,Texture,InfoMeas1,Mitochondria,90
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_7_3,0.07797756309994162,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,91
Cytoplasm_Intensity_MADIntensity_ER,0.07643985893293677,Cytoplasm,Intensity,MADIntensity,ER,92
Cytoplasm_AreaShape_Zernike_6_0,0.07551048821606672,Cytoplasm,AreaShape,Zernike,6,93
Nuclei_RadialDistribution_ZernikeMagnitude_PM_6_4,0.07477397957738458,Nuclei,RadialDistribution,ZernikeMagnitude,PM,94
Cytoplasm_RadialDistribution_ZernikeMagnitude_Actin_8_2,0.07325278006721717,Cytoplasm,RadialDistribution,ZernikeMagnitude,Actin,95
Cytoplasm_RadialDistribution_FracAtD_ER_3of4,0.07293485656583928,Cytoplasm,RadialDistribution,FracAtD,ER,96
Nuclei_Texture_InfoMeas1_ER_3_02_256,0.0729263446297964,Nuclei,Texture,InfoMeas1,ER,97
Cytoplasm_Intensity_MeanIntensity_Hoechst,0.07209704667804984,Cytoplasm,Intensity,MeanIntensity,Hoechst,98
Cells_Correlation_Overlap_ER_Hoechst,0.07157819785963132,Cells,Correlation,Overlap,ER,99
Cells_AreaShape_Zernike_4_0,0.07128114008347967,Cells,AreaShape,Zernike,4,100
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_6_6,0.07068609289702592,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,101
Nuclei_Texture_SumVariance_Mitochondria_3_03_256,0.0687321784838082,Nuclei,Texture,SumVariance,Mitochondria,102
Cytoplasm_Intensity_IntegratedIntensity_PM,0.06849683579675886,Cytoplasm,Intensity,IntegratedIntensity,PM,103
Cytoplasm_Correlation_Correlation_Mitochondria_PM,0.06727767552576855,Cytoplasm,Correlation,Correlation,Mitochondria,104
Nuclei_Correlation_Overlap_Actin_Hoechst,0.06702523668306466,Nuclei,Correlation,Overlap,Actin,105
Cells_Correlation_K_Hoechst_ER,0.06602451745091356,Cells,Correlation,K,Hoechst,106
Cells_RadialDistribution_FracAtD_Actin_1of4,0.06595165031224708,Cells,RadialDistribution,FracAtD,Actin,107
Nuclei_Texture_AngularSecondMoment_Hoechst_3_01_256,0.06545107297932178,Nuclei,Texture,AngularSecondMoment,Hoechst,108
Cells_Correlation_Correlation_Actin_PM,0.06516574402620834,Cells,Correlation,Correlation,Actin,109
Cells_RadialDistribution_ZernikeMagnitude_Actin_2_2,0.06462520568343313,Cells,RadialDistribution,ZernikeMagnitude,Actin,110
Nuclei_Intensity_LowerQuartileIntensity_Hoechst,0.06395155999724057,Nuclei,Intensity,LowerQuartileIntensity,Hoechst,111
Nuclei_RadialDistribution_RadialCV_Actin_4of4,0.0630502177561121,Nuclei,RadialDistribution,RadialCV,Actin,112
Nuclei_AreaShape_Zernike_4_4,0.062053448853782917,Nuclei,AreaShape,Zernike,4,113
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_4_4,0.061356605023949476,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,114
Nuclei_Correlation_K_Actin_PM,0.06066057025142649,Nuclei,Correlation,K,Actin,115
Cytoplasm_Texture_Contrast_ER_3_00_256,0.05865538048574889,Cytoplasm,Texture,Contrast,ER,116
Cells_Neighbors_AngleBetweenNeighbors_Adjacent,0.05849922580953271,Cells,Neighbors,AngleBetweenNeighbors,Adjacent,117
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_9_1,0.05758629358890996,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,118
Nuclei_AreaShape_Zernike_5_1,0.05613965508960623,Nuclei,AreaShape,Zernike,5,119
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_4_0,0.055477789729553556,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,120
Cytoplasm_RadialDistribution_MeanFrac_Mitochondria_2of4,0.055388104221583606,Cytoplasm,RadialDistribution,MeanFrac,Mitochondria,121
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_9_5,0.053858211425397116,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,122
Cytoplasm_Texture_SumVariance_Mitochondria_3_01_256,0.0529757428414072,Cytoplasm,Texture,SumVariance,Mitochondria,123
Nuclei_Texture_InfoMeas1_Mitochondria_3_00_256,0.05295700058224822,Nuclei,Texture,InfoMeas1,Mitochondria,124
Cytoplasm_RadialDistribution_RadialCV_ER_4of4,0.05123658042267402,Cytoplasm,RadialDistribution,RadialCV,ER,125
Nuclei_RadialDistribution_RadialCV_ER_4of4,0.05043342654534418,Nuclei,RadialDistribution,RadialCV,ER,126
Cells_RadialDistribution_ZernikeMagnitude_ER_8_6,0.04992619279496852,Cells,RadialDistribution,ZernikeMagnitude,ER,127
Nuclei_RadialDistribution_ZernikeMagnitude_ER_5_5,0.049285056187882564,Nuclei,RadialDistribution,ZernikeMagnitude,ER,128
Cells_Intensity_MaxIntensityEdge_ER,0.04913934134744596,Cells,Intensity,MaxIntensityEdge,ER,129
Cytoplasm_Texture_InfoMeas2_Hoechst_3_02_256,0.048936221350193175,Cytoplasm,Texture,InfoMeas2,Hoechst,130
Nuclei_AreaShape_Extent,0.04888467317430048,Nuclei,AreaShape,Extent,,131
Nuclei_RadialDistribution_RadialCV_ER_1of4,0.04887169592180646,Nuclei,RadialDistribution,RadialCV,ER,132
Cytoplasm_Texture_DifferenceVariance_PM_3_00_256,0.04809207497781143,Cytoplasm,Texture,DifferenceVariance,PM,133
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_4_0,0.046073705420501224,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,134
Nuclei_Correlation_K_Actin_Mitochondria,0.04547702179948826,Nuclei,Correlation,K,Actin,135
Cells_AreaShape_Zernike_8_2,0.04465184801040611,Cells,AreaShape,Zernike,8,136
Cytoplasm_RadialDistribution_ZernikeMagnitude_Actin_7_1,0.04400142682382569,Cytoplasm,RadialDistribution,ZernikeMagnitude,Actin,137
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_8_2,0.04306596654609369,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,138
Cells_RadialDistribution_ZernikeMagnitude_Actin_8_8,0.04263666214443047,Cells,RadialDistribution,ZernikeMagnitude,Actin,139
Cytoplasm_RadialDistribution_RadialCV_Actin_4of4,0.04232995315688319,Cytoplasm,RadialDistribution,RadialCV,Actin,140
Nuclei_Granularity_1_PM,0.04207270264397199,Nuclei,Granularity,1,PM,141
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_9_5,0.0418577438797912,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,142
Cytoplasm_Correlation_Correlation_ER_PM,0.04168549147608891,Cytoplasm,Correlation,Correlation,ER,143
Nuclei_Texture_Contrast_Actin_3_02_256,0.04150303696544852,Nuclei,Texture,Contrast,Actin,144
Cells_RadialDistribution_ZernikeMagnitude_PM_8_4,0.04145452809054724,Cells,RadialDistribution,ZernikeMagnitude,PM,145
Cytoplasm_AreaShape_Orientation,0.04123523604055748,Cytoplasm,AreaShape,Orientation,,146
Cells_RadialDistribution_RadialCV_Mitochondria_2of4,0.04086440970331404,Cells,RadialDistribution,RadialCV,Mitochondria,147
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_6_2,0.03981233556722447,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,148
Cells_RadialDistribution_ZernikeMagnitude_Hoechst_9_5,0.03853683484169349,Cells,RadialDistribution,ZernikeMagnitude,Hoechst,149
Nuclei_Correlation_Overlap_Hoechst_Mitochondria,0.0378045299051143,Nuclei,Correlation,Overlap,Hoechst,150
Nuclei_RadialDistribution_ZernikeMagnitude_PM_5_1,0.036316489531783305,Nuclei,RadialDistribution,ZernikeMagnitude,PM,151
Cytoplasm_RadialDistribution_ZernikeMagnitude_Actin_3_1,0.0362067720088178,Cytoplasm,RadialDistribution,ZernikeMagnitude,Actin,152
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_8_4,0.035374804256023996,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,153
Cytoplasm_AreaShape_Zernike_8_0,0.034932566223424014,Cytoplasm,AreaShape,Zernike,8,154
Nuclei_RadialDistribution_ZernikeMagnitude_ER_7_1,0.03449934344974171,Nuclei,RadialDistribution,ZernikeMagnitude,ER,155
Nuclei_AreaShape_Zernike_7_5,0.03433181810300117,Nuclei,AreaShape,Zernike,7,156
Nuclei_RadialDistribution_RadialCV_Mitochondria_1of4,0.033912990323414355,Nuclei,RadialDistribution,RadialCV,Mitochondria,157
Cytoplasm_RadialDistribution_RadialCV_Actin_2of4,0.03355305933404215,Cytoplasm,RadialDistribution,RadialCV,Actin,158
Cytoplasm_AreaShape_Zernike_9_1,0.03354947905423422,Cytoplasm,AreaShape,Zernike,9,159
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_7_5,0.032795061797515034,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,160
Cells_RadialDistribution_FracAtD_Actin_3of4,0.03228002495690887,Cells,RadialDistribution,FracAtD,Actin,161
Nuclei_Intensity_MassDisplacement_Hoechst,0.03082246751279777,Nuclei,Intensity,MassDisplacement,Hoechst,162
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_8_4,0.0304426910480148,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,163
Cells_RadialDistribution_ZernikeMagnitude_Actin_6_2,0.028917412000346386,Cells,RadialDistribution,ZernikeMagnitude,Actin,164
Nuclei_AreaShape_Zernike_8_8,0.027893608044409123,Nuclei,AreaShape,Zernike,8,165
Cells_RadialDistribution_ZernikeMagnitude_Mitochondria_9_3,0.02784615367614968,Cells,RadialDistribution,ZernikeMagnitude,Mitochondria,166
Nuclei_Texture_Correlation_PM_3_01_256,0.027304210642684654,Nuclei,Texture,Correlation,PM,167
Cytoplasm_Correlation_Manders_PM_Mitochondria,0.027095067587802127,Cytoplasm,Correlation,Manders,PM,168
Cells_RadialDistribution_ZernikeMagnitude_PM_8_8,0.025870179873845243,Cells,RadialDistribution,ZernikeMagnitude,PM,169
Cells_RadialDistribution_ZernikeMagnitude_ER_8_2,0.025779452775614498,Cells,RadialDistribution,ZernikeMagnitude,ER,170
Cytoplasm_AreaShape_Zernike_8_4,0.02492655544190697,Cytoplasm,AreaShape,Zernike,8,171
Cells_AreaShape_Zernike_9_1,0.02418535371707061,Cells,AreaShape,Zernike,9,172
Cytoplasm_RadialDistribution_ZernikeMagnitude_Mitochondria_9_1,0.023575866147569798,Cytoplasm,RadialDistribution,ZernikeMagnitude,Mitochondria,173
Nuclei_AreaShape_Zernike_9_5,0.023350595071979282,Nuclei,AreaShape,Zernike,9,174
Cytoplasm_Intensity_MassDisplacement_ER,0.022555273580410765,Cytoplasm,Intensity,MassDisplacement,ER,175
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_8_6,0.022402903631497367,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,176
Nuclei_Intensity_MassDisplacement_ER,0.021566877675381284,Nuclei,Intensity,MassDisplacement,ER,177
Cells_RadialDistribution_FracAtD_Actin_2of4,0.021284353196964877,Cells,RadialDistribution,FracAtD,Actin,178
Cytoplasm_Intensity_MaxIntensityEdge_Hoechst,0.019799217867893352,Cytoplasm,Intensity,MaxIntensityEdge,Hoechst,179
Nuclei_RadialDistribution_ZernikeMagnitude_ER_4_2,0.018447651713782327,Nuclei,RadialDistribution,ZernikeMagnitude,ER,180
Cells_RadialDistribution_MeanFrac_Actin_1of4,0.018006414621338878,Cells,RadialDistribution,MeanFrac,Actin,181
Cells_RadialDistribution_RadialCV_ER_3of4,0.017761243921216308,Cells,RadialDistribution,RadialCV,ER,182
Nuclei_AreaShape_Zernike_8_6,0.01767736152829297,Nuclei,AreaShape,Zernike,8,183
Cytoplasm_RadialDistribution_MeanFrac_Hoechst_4of4,0.016786076280054664,Cytoplasm,RadialDistribution,MeanFrac,Hoechst,184
Cells_RadialDistribution_RadialCV_PM_2of4,0.014914284781624298,Cells,RadialDistribution,RadialCV,PM,185
Nuclei_Texture_InfoMeas2_Hoechst_3_01_256,0.014538863577275187,Nuclei,Texture,InfoMeas2,Hoechst,186
Nuclei_RadialDistribution_MeanFrac_Mitochondria_3of4,0.013987028808846783,Nuclei,RadialDistribution,MeanFrac,Mitochondria,187
Nuclei_RadialDistribution_ZernikeMagnitude_ER_9_7,0.013271307603870424,Nuclei,RadialDistribution,ZernikeMagnitude,ER,188
Cells_Texture_InfoMeas1_Actin_3_01_256,0.013158398016128817,Cells,Texture,InfoMeas1,Actin,189
Cells_RadialDistribution_RadialCV_Hoechst_4of4,0.013123966521066408,Cells,RadialDistribution,RadialCV,Hoechst,190
Cytoplasm_RadialDistribution_FracAtD_Hoechst_4of4,0.012933306039323226,Cytoplasm,RadialDistribution,FracAtD,Hoechst,191
Cells_AreaShape_Zernike_7_7,0.012447001191907867,Cells,AreaShape,Zernike,7,192
Cells_RadialDistribution_ZernikeMagnitude_Mitochondria_8_2,0.01162501117306901,Cells,RadialDistribution,ZernikeMagnitude,Mitochondria,193
Cells_Intensity_StdIntensityEdge_ER,0.011391231609750498,Cells,Intensity,StdIntensityEdge,ER,194
Cells_Intensity_MaxIntensityEdge_PM,0.011373423513316059,Cells,Intensity,MaxIntensityEdge,PM,195
Cells_RadialDistribution_RadialCV_ER_4of4,0.010774600628351023,Cells,RadialDistribution,RadialCV,ER,196
Cytoplasm_AreaShape_Zernike_7_1,0.01056475787806064,Cytoplasm,AreaShape,Zernike,7,197
Cells_RadialDistribution_RadialCV_Actin_4of4,0.010328952986608951,Cells,RadialDistribution,RadialCV,Actin,198
Nuclei_Correlation_RWC_PM_Mitochondria,0.01028691819125872,Nuclei,Correlation,RWC,PM,199
Cells_Correlation_RWC_ER_Hoechst,0.00995422820418708,Cells,Correlation,RWC,ER,200
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_7_7,0.009553245655731733,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,201
Cells_Correlation_Correlation_ER_Hoechst,0.00921018889900884,Cells,Correlation,Correlation,ER,202
Nuclei_Texture_Contrast_Mitochondria_3_03_256,0.00884282363247271,Nuclei,Texture,Contrast,Mitochondria,203
Nuclei_RadialDistribution_ZernikeMagnitude_PM_7_1,0.008706329769822203,Nuclei,RadialDistribution,ZernikeMagnitude,PM,204
Cells_RadialDistribution_ZernikeMagnitude_Actin_9_9,0.008583403489599803,Cells,RadialDistribution,ZernikeMagnitude,Actin,205
Cells_Intensity_StdIntensityEdge_Mitochondria,0.008161998632495953,Cells,Intensity,StdIntensityEdge,Mitochondria,206
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_7_1,0.007114223251489074,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,207
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_7_1,0.006551468830517707,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,208
Nuclei_Correlation_RWC_ER_Actin,0.006248819415057936,Nuclei,Correlation,RWC,ER,209
Cytoplasm_Texture_Contrast_PM_3_00_256,0.005862379891054368,Cytoplasm,Texture,Contrast,PM,210
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_6_0,0.005756241224629481,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,211
Nuclei_Texture_DifferenceEntropy_ER_3_02_256,0.005206232104763002,Nuclei,Texture,DifferenceEntropy,ER,212
Cells_RadialDistribution_ZernikeMagnitude_Actin_8_0,0.004190793431888829,Cells,RadialDistribution,ZernikeMagnitude,Actin,213
Cells_RadialDistribution_ZernikeMagnitude_PM_6_2,0.004134715999057207,Cells,RadialDistribution,ZernikeMagnitude,PM,214
Cells_RadialDistribution_FracAtD_Hoechst_3of4,0.00368535336255402,Cells,RadialDistribution,FracAtD,Hoechst,215
Cytoplasm_AreaShape_Zernike_8_6,0.003643256375560983,Cytoplasm,AreaShape,Zernike,8,216
Nuclei_Correlation_RWC_Actin_ER,0.002891146710134485,Nuclei,Correlation,RWC,Actin,217
Nuclei_AreaShape_Zernike_6_6,0.0028352978959794778,Nuclei,AreaShape,Zernike,6,218
