Feature,Coefficient,Compartment,Feature_Type,Measurement,Channel,Rank
Cells_AreaShape_Zernike_6_2,0.0069538026245198,Cells,AreaShape,Zernike,6,159
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_9_9,0.006752992431666891,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,160
Nuclei_Texture_InverseDifferenceMoment_Actin_3_02_256,0.004914423734546932,Nuclei,Texture,InverseDifferenceMoment,Actin,161
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_4of4,0.003740187304036537,Cytoplasm,RadialDistribution,RadialCV,Mitochondria,162
Cells_Granularity_2_Hoechst,0.0036426305457108637,Cells,Granularity,2,Hoechst,163
Cells_Correlation_K_Hoechst_ER,0.0033803797522149585,Cells,Correlation,K,Hoechst,164
Cells_AreaShape_Zernike_8_2,0.002755807034960326,Cells,AreaShape,Zernike,8,165
Cells_RadialDistribution_ZernikeMagnitude_Mitochondria_8_8,0.0027147677980993486,Cells,RadialDistribution,ZernikeMagnitude,Mitochondria,166
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_6_0,0.002489833658718976,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,167
Cells_RadialDistribution_MeanFrac_Actin_3of4,0.0009816682983950795,Cells,RadialDistribution,MeanFrac,Actin,168
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_4_2,0.0009547323494860934,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,169
Nuclei_Intensity_StdIntensityEdge_Hoechst,0.000628443853351216,Nuclei,Intensity,StdIntensityEdge,Hoechst,170
Nuclei_Correlation_K_Actin_Mitochondria,0.0,Nuclei,Correlation,K,Actin,171
Cytoplasm_AreaShape_Zernike_2_0,0.0,Cytoplasm,AreaShape,Zernike,2,172
Cells_RadialDistribution_ZernikeMagnitude_Hoechst_9_9,0.0,Cells,RadialDistribution,ZernikeMagnitude,Hoechst,173
Cells_RadialDistribution_RadialCV_Mitochondria_3of4,0.0,Cells,RadialDistribution,RadialCV,Mitochondria,174
Nuclei_Correlation_RWC_Actin_ER,0.0,Nuclei,Correlation,RWC,Actin,175
Nuclei_RadialDistribution_FracAtD_Mitochondria_2of4,0.0,Nuclei,RadialDistribution,FracAtD,Mitochondria,176
Nuclei_RadialDistribution_MeanFrac_ER_2of4,0.0,Nuclei,RadialDistribution,MeanFrac,ER,177
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_2_0,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,178
Cytoplasm_RadialDistribution_ZernikeMagnitude_Actin_4_2,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Actin,179
Nuclei_RadialDistribution_ZernikeMagnitude_ER_6_2,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,ER,180
Cytoplasm_Texture_Correlation_Mitochondria_3_01_256,0.0,Cytoplasm,Texture,Correlation,Mitochondria,181
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_7_5,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,182
Cytoplasm_Texture_Correlation_Mitochondria_3_03_256,0.0,Cytoplasm,Texture,Correlation,Mitochondria,183
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_2_2,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,184
Cytoplasm_Texture_DifferenceVariance_Mitochondria_3_00_256,0.0,Cytoplasm,Texture,DifferenceVariance,Mitochondria,185
Cytoplasm_Intensity_MaxIntensityEdge_PM,0.0,Cytoplasm,Intensity,MaxIntensityEdge,PM,186
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_9_9,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,187
Cells_Correlation_Correlation_Hoechst_PM,0.0,Cells,Correlation,Correlation,Hoechst,188
Cells_RadialDistribution_FracAtD_Hoechst_3of4,0.0,Cells,RadialDistribution,FracAtD,Hoechst,189
Cytoplasm_Texture_SumVariance_ER_3_01_256,0.0,Cytoplasm,Texture,SumVariance,ER,190
Cells_Correlation_RWC_PM_ER,0.0,Cells,Correlation,RWC,PM,191
Nuclei_Intensity_MassDisplacement_ER,0.0,Nuclei,Intensity,MassDisplacement,ER,192
Nuclei_Correlation_RWC_ER_Actin,0.0,Nuclei,Correlation,RWC,ER,193
Cells_RadialDistribution_ZernikeMagnitude_Mitochondria_8_0,0.0,Cells,RadialDistribution,ZernikeMagnitude,Mitochondria,194
Cells_Intensity_StdIntensityEdge_ER,0.0,Cells,Intensity,StdIntensityEdge,ER,195
Cells_Intensity_IntegratedIntensityEdge_Hoechst,0.0,Cells,Intensity,IntegratedIntensityEdge,Hoechst,196
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_4_4,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,197
Cytoplasm_Intensity_StdIntensityEdge_PM,0.0,Cytoplasm,Intensity,StdIntensityEdge,PM,198
Nuclei_Texture_InfoMeas2_Hoechst_3_01_256,0.0,Nuclei,Texture,InfoMeas2,Hoechst,199
Nuclei_Texture_Correlation_PM_3_03_256,0.0,Nuclei,Texture,Correlation,PM,200
Nuclei_RadialDistribution_ZernikeMagnitude_ER_4_0,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,ER,201
Cytoplasm_RadialDistribution_RadialCV_Actin_2of4,0.0,Cytoplasm,RadialDistribution,RadialCV,Actin,202
Cytoplasm_AreaShape_MaximumRadius,0.0,Cytoplasm,AreaShape,MaximumRadius,,203
Cells_Correlation_Manders_PM_Mitochondria,0.0,Cells,Correlation,Manders,PM,204
Cells_RadialDistribution_RadialCV_Mitochondria_4of4,0.0,Cells,RadialDistribution,RadialCV,Mitochondria,205
Cytoplasm_Intensity_MADIntensity_ER,0.0,Cytoplasm,Intensity,MADIntensity,ER,206
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_2_0,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,207
Nuclei_Texture_Contrast_ER_3_03_256,0.0,Nuclei,Texture,Contrast,ER,208
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_5_1,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,209
Cytoplasm_RadialDistribution_ZernikeMagnitude_Actin_7_1,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Actin,210
Cytoplasm_Correlation_RWC_Mitochondria_PM,0.0,Cytoplasm,Correlation,RWC,Mitochondria,211
Cytoplasm_Texture_Contrast_Mitochondria_3_00_256,0.0,Cytoplasm,Texture,Contrast,Mitochondria,212
Cytoplasm_Texture_Contrast_Actin_3_00_256,0.0,Cytoplasm,Texture,Contrast,Actin,213
Nuclei_Intensity_LowerQuartileIntensity_Actin,0.0,Nuclei,Intensity,LowerQuartileIntensity,Actin,214
Cytoplasm_AreaShape_Zernike_6_4,0.0,Cytoplasm,AreaShape,Zernike,6,215
Cytoplasm_Texture_InfoMeas2_Hoechst_3_03_256,0.0,Cytoplasm,Texture,InfoMeas2,Hoechst,216
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_8_4,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,217
Nuclei_AreaShape_Zernike_8_0,0.0,Nuclei,AreaShape,Zernike,8,218
Cytoplasm_Correlation_Correlation_Actin_Hoechst,0.0,Cytoplasm,Correlation,Correlation,Actin,219
Nuclei_Intensity_MADIntensity_Hoechst,0.0,Nuclei,Intensity,MADIntensity,Hoechst,220
Cells_Texture_InfoMeas1_Actin_3_03_256,0.0,Cells,Texture,InfoMeas1,Actin,221
Nuclei_Texture_Correlation_Mitochondria_3_01_256,0.0,Nuclei,Texture,Correlation,Mitochondria,222
Nuclei_Correlation_RWC_Hoechst_Actin,0.0,Nuclei,Correlation,RWC,Hoechst,223
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_4_2,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,224
