Feature,Coefficient,Compartment,Feature_Type,Measurement,Channel,Rank
Nuclei_Texture_AngularSecondMoment_Hoechst_3_01_256,0.023631995481276476,Nuclei,Texture,AngularSecondMoment,Hoechst,93
Cytoplasm_RadialDistribution_ZernikeMagnitude_Actin_4_2,0.02312553571615572,Cytoplasm,RadialDistribution,ZernikeMagnitude,Actin,94
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_2_2,0.02187714246067536,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,95
Nuclei_RadialDistribution_MeanFrac_Actin_1of4,0.021791076739811427,Nuclei,RadialDistribution,MeanFrac,Actin,96
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_6_6,0.020954539345893797,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,97
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_8_0,0.02064032347425755,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,98
Nuclei_AreaShape_Zernike_9_5,0.02021127022540062,Nuclei,AreaShape,Zernike,9,99
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_9_1,0.018144340736212003,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,100
Cytoplasm_RadialDistribution_MeanFrac_Hoechst_4of4,0.01771810167489554,Cytoplasm,RadialDistribution,MeanFrac,Hoechst,101
Nuclei_RadialDistribution_MeanFrac_Mitochondria_1of4,0.016070452094626448,Nuclei,RadialDistribution,MeanFrac,Mitochondria,102
Cytoplasm_RadialDistribution_RadialCV_Hoechst_1of4,0.016068166715360082,Cytoplasm,RadialDistribution,RadialCV,Hoechst,103
Cytoplasm_Texture_InfoMeas1_Mitochondria_3_00_256,0.015954505885072596,Cytoplasm,Texture,InfoMeas1,Mitochondria,104
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_3_3,0.015334491262184407,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,105
Nuclei_Neighbors_SecondClosestDistance_Adjacent,0.01506526282371399,Nuclei,Neighbors,SecondClosestDistance,Adjacent,106
Cytoplasm_Texture_InfoMeas2_Hoechst_3_02_256,0.014637884311842746,Cytoplasm,Texture,InfoMeas2,Hoechst,107
Cytoplasm_Texture_DifferenceEntropy_Mitochondria_3_00_256,0.014608880976708708,Cytoplasm,Texture,DifferenceEntropy,Mitochondria,108
Cytoplasm_Correlation_Correlation_ER_Hoechst,0.013956825043759634,Cytoplasm,Correlation,Correlation,ER,109
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_7_3,0.013713389757328045,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,110
Nuclei_AreaShape_Zernike_3_3,0.013347807547627268,Nuclei,AreaShape,Zernike,3,111
Cytoplasm_Texture_Correlation_ER_3_00_256,0.012681205062399455,Cytoplasm,Texture,Correlation,ER,112
Cells_Texture_AngularSecondMoment_PM_3_03_256,0.012536216474867742,Cells,Texture,AngularSecondMoment,PM,113
Nuclei_Texture_InfoMeas2_Hoechst_3_02_256,0.011722328474636615,Nuclei,Texture,InfoMeas2,Hoechst,114
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_5_1,0.01149556992125521,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,115
Cells_Correlation_RWC_Hoechst_Mitochondria,0.011369158901863415,Cells,Correlation,RWC,Hoechst,116
Cytoplasm_Texture_AngularSecondMoment_Mitochondria_3_03_256,0.010653845432775227,Cytoplasm,Texture,AngularSecondMoment,Mitochondria,117
Cytoplasm_AreaShape_Orientation,0.009932900984364406,Cytoplasm,AreaShape,Orientation,,118
Cytoplasm_Texture_InfoMeas2_Hoechst_3_03_256,0.009884977533307021,Cytoplasm,Texture,InfoMeas2,Hoechst,119
Nuclei_Intensity_MinIntensity_Actin,0.00955143328906451,Nuclei,Intensity,MinIntensity,Actin,120
Cytoplasm_Texture_InverseDifferenceMoment_PM_3_00_256,0.009485210610754365,Cytoplasm,Texture,InverseDifferenceMoment,PM,121
Cytoplasm_Texture_InfoMeas2_Hoechst_3_00_256,0.007224126513130151,Cytoplasm,Texture,InfoMeas2,Hoechst,122
Cells_RadialDistribution_FracAtD_Hoechst_2of4,0.007019391389664007,Cells,RadialDistribution,FracAtD,Hoechst,123
Nuclei_Texture_DifferenceEntropy_ER_3_02_256,0.006956509988303562,Nuclei,Texture,DifferenceEntropy,ER,124
Nuclei_Correlation_RWC_PM_Mitochondria,0.006199890243561759,Nuclei,Correlation,RWC,PM,125
Cells_Correlation_Correlation_Actin_Mitochondria,0.00612458967961725,Cells,Correlation,Correlation,Actin,126
Cytoplasm_AreaShape_MajorAxisLength,0.005811508142636926,Cytoplasm,AreaShape,MajorAxisLength,,127
Nuclei_Correlation_RWC_Mitochondria_Hoechst,0.00580840882976562,Nuclei,Correlation,RWC,Mitochondria,128
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_7_1,0.005716869545252264,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,129
Nuclei_Texture_InfoMeas2_Hoechst_3_01_256,0.005217463521119492,Nuclei,Texture,InfoMeas2,Hoechst,130
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_9_3,0.004833148780531674,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,131
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_8_6,0.0038394773078713933,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,132
Nuclei_AreaShape_Zernike_5_3,0.003540365654681558,Nuclei,AreaShape,Zernike,5,133
Cytoplasm_Texture_Correlation_ER_3_03_256,0.0034995803281160087,Cytoplasm,Texture,Correlation,ER,134
Cells_Texture_AngularSecondMoment_Hoechst_3_02_256,0.00322955613416185,Cells,Texture,AngularSecondMoment,Hoechst,135
Nuclei_Texture_Contrast_ER_3_02_256,0.003187930546930305,Nuclei,Texture,Contrast,ER,136
Cytoplasm_Intensity_MaxIntensity_Hoechst,0.0031442624375955103,Cytoplasm,Intensity,MaxIntensity,Hoechst,137
Cells_RadialDistribution_ZernikeMagnitude_Actin_9_5,0.0024342843550822046,Cells,RadialDistribution,ZernikeMagnitude,Actin,138
Nuclei_AreaShape_Zernike_8_0,0.002319543356421465,Nuclei,AreaShape,Zernike,8,139
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_6_2,0.001684387037861008,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,140
Nuclei_RadialDistribution_MeanFrac_Mitochondria_2of4,0.0014248476381633062,Nuclei,RadialDistribution,MeanFrac,Mitochondria,141
Cytoplasm_RadialDistribution_RadialCV_ER_1of4,0.0010704965128396815,Cytoplasm,RadialDistribution,RadialCV,ER,142
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_5_3,0.000754969713138096,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,143
Cells_AreaShape_MinFeretDiameter,0.0005518242161053987,Cells,AreaShape,MinFeretDiameter,,144
Cells_AreaShape_Zernike_6_0,0.0003270832821561874,Cells,AreaShape,Zernike,6,145
Nuclei_Correlation_RWC_Mitochondria_PM,0.00023200678018916825,Nuclei,Correlation,RWC,Mitochondria,146
Cells_RadialDistribution_ZernikeMagnitude_PM_9_9,0.00018239947876867615,Cells,RadialDistribution,ZernikeMagnitude,PM,147
Nuclei_AreaShape_Zernike_6_2,1.4452478061683075e-05,Nuclei,AreaShape,Zernike,6,148
Cytoplasm_RadialDistribution_ZernikeMagnitude_ER_7_3,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,ER,149
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_4_4,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,150
Cytoplasm_Texture_DifferenceEntropy_ER_3_01_256,0.0,Cytoplasm,Texture,DifferenceEntropy,ER,151
Nuclei_Texture_InfoMeas1_Mitochondria_3_01_256,0.0,Nuclei,Texture,InfoMeas1,Mitochondria,152
Cells_Correlation_Correlation_Actin_Hoechst,0.0,Cells,Correlation,Correlation,Actin,153
Nuclei_Texture_InfoMeas1_Hoechst_3_01_256,0.0,Nuclei,Texture,InfoMeas1,Hoechst,154
Cytoplasm_RadialDistribution_FracAtD_PM_3of4,0.0,Cytoplasm,RadialDistribution,FracAtD,PM,155
Nuclei_RadialDistribution_ZernikeMagnitude_PM_3_3,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,PM,156
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_6_6,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,157
Cytoplasm_RadialDistribution_FracAtD_Actin_2of4,0.0,Cytoplasm,RadialDistribution,FracAtD,Actin,158
Cytoplasm_RadialDistribution_FracAtD_PM_4of4,0.0,Cytoplasm,RadialDistribution,FracAtD,PM,159
Nuclei_RadialDistribution_MeanFrac_PM_2of4,0.0,Nuclei,RadialDistribution,MeanFrac,PM,160
Cytoplasm_Correlation_Manders_Mitochondria_Hoechst,0.0,Cytoplasm,Correlation,Manders,Mitochondria,161
Cells_RadialDistribution_ZernikeMagnitude_PM_5_3,0.0,Cells,RadialDistribution,ZernikeMagnitude,PM,162
Cells_RadialDistribution_ZernikeMagnitude_Mitochondria_6_2,0.0,Cells,RadialDistribution,ZernikeMagnitude,Mitochondria,163
Cytoplasm_Texture_InfoMeas2_Hoechst_3_01_256,0.0,Cytoplasm,Texture,InfoMeas2,Hoechst,164
Cytoplasm_Correlation_RWC_Hoechst_ER,0.0,Cytoplasm,Correlation,RWC,Hoechst,165
Cells_RadialDistribution_ZernikeMagnitude_ER_9_9,0.0,Cells,RadialDistribution,ZernikeMagnitude,ER,166
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_1_1,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,167
Cells_RadialDistribution_MeanFrac_Hoechst_1of4,0.0,Cells,RadialDistribution,MeanFrac,Hoechst,168
Cytoplasm_Intensity_StdIntensityEdge_ER,0.0,Cytoplasm,Intensity,StdIntensityEdge,ER,169
Cytoplasm_RadialDistribution_FracAtD_ER_4of4,0.0,Cytoplasm,RadialDistribution,FracAtD,ER,170
Nuclei_RadialDistribution_ZernikeMagnitude_ER_7_7,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,ER,171
Cells_Intensity_StdIntensityEdge_PM,0.0,Cells,Intensity,StdIntensityEdge,PM,172
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_6_4,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,173
Cells_Texture_Correlation_Actin_3_03_256,0.0,Cells,Texture,Correlation,Actin,174
Cells_RadialDistribution_ZernikeMagnitude_Mitochondria_9_5,0.0,Cells,RadialDistribution,ZernikeMagnitude,Mitochondria,175
Cytoplasm_Correlation_K_Mitochondria_ER,0.0,Cytoplasm,Correlation,K,Mitochondria,176
Nuclei_RadialDistribution_RadialCV_Actin_3of4,0.0,Nuclei,RadialDistribution,RadialCV,Actin,177
Cytoplasm_Texture_Contrast_PM_3_02_256,0.0,Cytoplasm,Texture,Contrast,PM,178
Nuclei_RadialDistribution_ZernikeMagnitude_PM_9_3,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,PM,179
Cytoplasm_AreaShape_Zernike_9_3,0.0,Cytoplasm,AreaShape,Zernike,9,180
Cells_RadialDistribution_RadialCV_ER_2of4,0.0,Cells,RadialDistribution,RadialCV,ER,181
Cells_Texture_InfoMeas1_Actin_3_00_256,0.0,Cells,Texture,InfoMeas1,Actin,182
Cytoplasm_RadialDistribution_ZernikeMagnitude_Hoechst_7_3,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,Hoechst,183
Nuclei_RadialDistribution_RadialCV_Actin_1of4,0.0,Nuclei,RadialDistribution,RadialCV,Actin,184
Nuclei_AreaShape_Zernike_1_1,0.0,Nuclei,AreaShape,Zernike,1,185
Cells_RadialDistribution_ZernikeMagnitude_Actin_5_3,0.0,Cells,RadialDistribution,ZernikeMagnitude,Actin,186
Cytoplasm_Texture_Contrast_ER_3_02_256,0.0,Cytoplasm,Texture,Contrast,ER,187
Cells_RadialDistribution_ZernikeMagnitude_ER_9_3,0.0,Cells,RadialDistribution,ZernikeMagnitude,ER,188
Cytoplasm_Texture_DifferenceEntropy_ER_3_03_256,0.0,Cytoplasm,Texture,DifferenceEntropy,ER,189
Cells_RadialDistribution_RadialCV_Mitochondria_3of4,0.0,Cells,RadialDistribution,RadialCV,Mitochondria,190
Cytoplasm_RadialDistribution_RadialCV_Mitochondria_4of4,0.0,Cytoplasm,RadialDistribution,RadialCV,Mitochondria,191
Cells_Texture_Correlation_PM_3_01_256,0.0,Cells,Texture,Correlation,PM,192
Nuclei_Correlation_RWC_Hoechst_ER,0.0,Nuclei,Correlation,RWC,Hoechst,193
Nuclei_Texture_Contrast_PM_3_00_256,0.0,Nuclei,Texture,Contrast,PM,194
Cells_Correlation_Manders_Hoechst_Actin,0.0,Cells,Correlation,Manders,Hoechst,195
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_9_9,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,196
Cells_RadialDistribution_ZernikeMagnitude_ER_6_0,0.0,Cells,RadialDistribution,ZernikeMagnitude,ER,197
Nuclei_RadialDistribution_RadialCV_PM_1of4,0.0,Nuclei,RadialDistribution,RadialCV,PM,198
Nuclei_Correlation_K_Mitochondria_Hoechst,0.0,Nuclei,Correlation,K,Mitochondria,199
Cytoplasm_AreaShape_Zernike_6_2,0.0,Cytoplasm,AreaShape,Zernike,6,200
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_6_0,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,201
Nuclei_AreaShape_Zernike_6_4,0.0,Nuclei,AreaShape,Zernike,6,202
Cytoplasm_Intensity_StdIntensity_Hoechst,0.0,Cytoplasm,Intensity,StdIntensity,Hoechst,203
Nuclei_Texture_Correlation_ER_3_02_256,0.0,Nuclei,Texture,Correlation,ER,204
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_5_3,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,205
Cytoplasm_RadialDistribution_MeanFrac_PM_3of4,0.0,Cytoplasm,RadialDistribution,MeanFrac,PM,206
Nuclei_Texture_InfoMeas2_Mitochondria_3_00_256,0.0,Nuclei,Texture,InfoMeas2,Mitochondria,207
Nuclei_Correlation_RWC_PM_Actin,0.0,Nuclei,Correlation,RWC,PM,208
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_8_4,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,209
Nuclei_RadialDistribution_ZernikeMagnitude_Actin_7_5,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Actin,210
Cells_RadialDistribution_ZernikeMagnitude_PM_3_1,0.0,Cells,RadialDistribution,ZernikeMagnitude,PM,211
Nuclei_RadialDistribution_FracAtD_Mitochondria_1of4,0.0,Nuclei,RadialDistribution,FracAtD,Mitochondria,212
Nuclei_AreaShape_Zernike_6_6,0.0,Nuclei,AreaShape,Zernike,6,213
Cells_Correlation_Correlation_Hoechst_PM,0.0,Cells,Correlation,Correlation,Hoechst,214
Nuclei_RadialDistribution_ZernikeMagnitude_Hoechst_6_2,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Hoechst,215
Cytoplasm_Intensity_StdIntensity_PM,0.0,Cytoplasm,Intensity,StdIntensity,PM,216
Nuclei_AreaShape_Zernike_8_8,0.0,Nuclei,AreaShape,Zernike,8,217
Nuclei_RadialDistribution_ZernikeMagnitude_Mitochondria_8_4,0.0,Nuclei,RadialDistribution,ZernikeMagnitude,Mitochondria,218
Cytoplasm_RadialDistribution_ZernikeMagnitude_PM_3_1,0.0,Cytoplasm,RadialDistribution,ZernikeMagnitude,PM,219
